crop_id,crop_name,season,seasons_list,description,seed_price,seed_price_model,sell_price_raw,growth_days,regrowth_days,is_regrowable,is_trellis,is_multi_season,is_quest_only,profit_supported,farm_context,rule_note,special_harvest_model,available_days,base_yield,expected_extra_yield,yield_per_harvest,yield_note,max_harvests,seed_cycles,profit_total,profit_per_day,roi,affordable,will_mature,first_harvest_day
cactus-fruit,Cactus Fruit,Any,Spring|Summer|Fall|Winter,The sweet fruit of the prickly pear cactus.,150,shop_gold,75,12,3,True,False,True,False,True,greenhouse_indoor_or_island_only,"Can only be grown in the Greenhouse, Garden Pots indoors, or on Ginger Island.",,112,1.0,0.0,1.0,,34,1,2400.0,21.428571428571427,16.0,,True,13
fiber-seeds,Fiber Seeds,Any,Spring|Summer|Fall|Winter,"Plant these to grow fiber crops, useful for crafting.",0,crafted,1,7,0,False,False,True,False,True,crafting_material,"Useful for Fiber, not primarily a cash crop; expected yield uses midpoint of 4-7 Fiber.",,112,1.0,4.5,5.5,Uses midpoint of 4-7 Fiber per harvest; rare 1% extra Fiber not included.,15,15,82.5,0.7366071428571429,0.0,,True,8
qi-fruit,Qi Fruit,Any,Spring|Summer|Fall|Winter,"A strange fruit requested by Mr. Qi, with an unusual appearance.",1,quest_drop,1,4,0,False,False,True,True,True,quest_only,Only available during the Qi's Crop quest.,,112,1.0,0.0,1.0,,27,27,0.0,0.0,0.0,,True,5
amaranth,Amaranth,Fall,Fall,A purple grain cultivated by an ancient civilization.,70,shop_gold,150,7,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,240.0,8.571428571428571,1.1428571428571428,,True,8
artichoke,Artichoke,Fall,Fall,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",30,shop_gold,160,8,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,3,3,390.0,13.928571428571429,4.333333333333333,,True,9
beet,Beet,Fall,Fall,"A sweet and earthy root vegetable. As a bonus, the leaves make a great salad.",20,shop_gold,100,6,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,4,4,320.0,11.428571428571429,4.0,,True,7
bok-choy,Bok Choy,Fall,Fall,The leafy greens and fibrous stalks are healthy and delicious.,50,shop_gold,80,4,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,6,6,180.0,6.428571428571429,0.6,,True,5
broccoli,Broccoli,Fall,Fall,The flowering head of a broccoli plant. The tiny buds give it a unique texture.,40,found_seed_opportunity_cost,70,8,4,True,False,False,False,True,standard_outdoor,Seeds are not sold in shops; seed_price uses seed sell price/opportunity cost.,,28,1.0,0.0,1.0,,5,1,310.0,11.071428571428571,7.75,,True,9
cranberries,Cranberries,Fall,Fall,These tart red berries are a traditional winter food.,240,shop_gold,75,7,5,True,False,False,False,True,standard_outdoor,,,28,2.0,0.11,2.11,Guaranteed 2 berries plus 0.11 expected extra berries per harvest.,5,1,551.25,19.6875,2.296875,,True,8
eggplant,Eggplant,Fall,Fall,A rich and wholesome relative of the tomato. Delicious fried or stewed.,20,shop_gold,60,5,5,True,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,Rare 0.2% extra eggplants not included in default expected yield.,5,1,280.0,10.0,14.0,,True,6
fairy-rose,Fairy Rose,Fall,Fall,An old folk legend suggests that the sweet smell of this flower attracts fairies.,200,shop_gold,290,12,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,180.0,6.428571428571429,0.45,,True,13
grape,Grape,Fall,Fall,A sweet cluster of fruit.,60,shop_gold,80,10,3,True,True,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,6,1,420.0,15.0,7.0,,True,11
pumpkin,Pumpkin,Fall,Fall,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",100,shop_gold,320,13,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,2,2,440.0,15.714285714285714,2.2,,True,14
sweet-gem-berry,Sweet Gem Berry,Fall,Fall,It's by far the sweetest thing you've ever smelled.,1000,shop_gold,3000,24,0,False,False,False,False,True,standard_outdoor,,,28,1.0,0.0,1.0,,1,1,2000.0,71.42857142857143,2.0,,True,25
